# ell  Nl
1.000000000000000000e+01 1.000000000000000083e-30
1.299999999999999822e+01 1.000000000000000083e-30
1.700000000000000000e+01 3.784440292166788275e-18
2.200000000000000000e+01 3.805874242659964898e-18
2.799999999999999645e+01 5.317539886194330523e-17
3.650000000000000000e+01 1.000000000000000083e-30
4.700000000000000711e+01 1.000000000000000083e-30
6.000000000000000711e+01 1.000000000000000083e-30
7.750000000000000000e+01 1.000000000000000083e-30
1.000000000000000000e+02 1.000000000000000083e-30
1.290000000000000284e+02 1.000000000000000083e-30
1.660000000000000284e+02 1.000000000000000083e-30
2.134999999999999716e+02 1.000000000000000083e-30
2.749999999999998863e+02 1.000000000000000083e-30
3.539999999999994884e+02 1.645506531873453535e-18
4.559999999999995453e+02 1.949592122389492290e-18
5.875000000000000000e+02 2.366412209111514049e-18
7.565000000000000000e+02 1.957434887608491152e-18
9.735000000000000000e+02 1.347487441771978224e-18
1.253500000000000682e+03 6.172496143526722548e-19
